Ensemble_ID,Gene_symbol,H376.VI.50_OFC,H376.VI.51_OFC,H376.VI.52_OFC,H376.VII.51_OFC,H376.VIII.51_OFC,H376.VIII.53_OFC,H376.VIII.52_OFC,H376.VIII.54_OFC,H376.VIII.50_OFC
ENSG00000000003,TSPAN6,4.46,12.46,6.95,5.45,3.62,2,6.61,5.72,5.07
ENSG00000000005,TNMD,0.35,0.08,0.19,0.1,0.05,0,0,0.12,0.14
ENSG00000000419,DPM1,13.47,7.65,15.1,14.71,9.89,5.65,9.48,9.01,12.8
ENSG00000000457,SCYL3,1.56,1.79,1.58,2.21,2.68,0.33,1.59,1.48,1.7
ENSG00000000460,C1orf112,0.48,1.08,0.66,0.87,0.67,0.15,0.34,0.59,0.8
ENSG00000000938,FGR,0.42,3.24,0.78,0.99,0.97,1.66,3.32,2.98,0.86
ENSG00000000971,CFH,0.95,2.09,1.25,1.63,1.24,0.76,2.99,2.2,1.17
ENSG00000001036,FUCA2,6.25,9.29,7.84,10,5.78,4.78,8.06,8.83,7.49
ENSG00000001084,GCLC,4.11,2.32,4.65,4.94,4.72,1.28,3.29,3.72,4.92
ENSG00000001167,NFYA,3.29,7,4.89,2.5,5.81,1.39,6.98,5.59,6.96
ENSG00000001460,STPG1,2.4,0.85,1.97,1.74,4.02,0.36,1.91,1.34,2.13
ENSG00000001461,NIPAL3,10.54,4.69,4.58,9.76,22.07,4.27,9.77,12.13,14.26
ENSG00000001497,LAS1L,2.23,6.6,2.16,3.16,3.35,2.66,5.3,5.37,2.86
ENSG00000001561,ENPP4,8.85,1.91,8.38,5.67,11.3,3.14,3.83,5.62,10.02
ENSG00000001617,SEMA3F,0,2.29,1.82,0.48,1.13,1.99,1.49,1.54,0.98
ENSG00000001626,CFTR,0.12,0.03,0,0.05,0.05,0.02,0,0.07,0.14
ENSG00000001629,ANKIB1,8.71,10.56,9.8,7.81,9.93,1.83,6.46,7.91,9.59
ENSG00000001630,CYP51A1,29.8,31.53,26.64,35.42,20.71,11.99,24.86,25.47,21.27
ENSG00000001631,KRIT1,2.54,3.18,1.73,1.9,3.2,1.06,2.59,3.14,2.9
ENSG00000002016,RAD52,0.27,1.89,0.34,0.86,0.9,0.33,1.17,1.44,0.59
ENSG00000002330,BAD,35.85,38.84,94.1,56.45,38.03,37.02,65.79,40.52,31.29
ENSG00000002549,LAP3,6.36,9.73,7.6,9.49,7.02,3.56,10.49,8.23,7.51
ENSG00000002586,CD99,0.014361,0,0,0,0,0,0,0,0.014361
ENSG00000002587,HS3ST1,2.12,0.59,2.71,1.44,2.04,0.26,0.78,0.74,1.53
ENSG00000002726,AOC1,0.02,0,0,0.02,0.01,0,0,0.03,0.03
ENSG00000002745,WNT16,0.54,0.07,1.5,0.8,0.8,0.17,0.42,0.21,0.45
ENSG00000002746,HECW1,5.12,1.39,3.02,5.21,6.31,0.44,2.22,1.36,3.61
ENSG00000002822,MAD1L1,2.82,2.53,3.87,2.91,2.68,1.94,2.44,3.42,1.73
ENSG00000002834,LASP1,49.05,51.11,65.93,46.44,56.05,14.3,39.48,38.55,36.29
ENSG00000002919,SNX11,9.37,9.47,12,11.06,10.44,4.39,13.46,7.16,10.81
ENSG00000002933,TMEM176A,0.81,0.55,0.4,0.83,1.08,0.97,2.53,3.34,1.87
ENSG00000003056,M6PR,8.55,8.14,6.58,8.41,11.97,1.99,6.8,8.07,8.56
ENSG00000003096,KLHL13,6.16,1.95,5.09,2.58,2.4,0.25,0.4,1.18,3.68
ENSG00000003137,CYP26B1,8.94,1.38,4.35,9.81,13.05,0.66,2.3,3.34,7.74
ENSG00000003147,ICA1,5.77,4.4,6.41,5.79,6.05,1.05,4.32,3.43,4.77
ENSG00000003249,DBNDD1,23.13,18.65,24,28.43,34.27,9.43,36.58,22.22,20.63
ENSG00000003393,ALS2,4.7,2.97,4.31,2.81,6.36,0.49,1.61,2.45,3.9
ENSG00000003400,CASP10,0.3,2.39,0.25,0.28,0.6,0.7,1.46,0.98,0.56
ENSG00000003402,CFLAR,0.75,3.02,0.82,0.52,1.21,1.4,1.5,1.98,1.21
ENSG00000003436,TFPI,0.57,0.96,0.79,0.19,0.25,0.29,1.1,0.47,0.42
ENSG00000003509,NDUFAF7,2.53,3.21,3.17,2.66,3.09,0.79,2.23,2.33,2.83
ENSG00000003756,RBM5,3.76,9.44,4.52,3.84,7.69,2.43,5.12,7.54,5.37
ENSG00000003987,MTMR7,6.68,1.23,6.49,5.26,6.8,0.57,2.18,1.55,6
ENSG00000003989,SLC7A2,0.68,3.32,0.42,0.5,0.9,0.87,3.08,2.86,1.28
ENSG00000004059,ARF5,96.11,77.13,187.53,116.41,98.43,36.29,113.82,67.86,81.05
ENSG00000004139,SARM1,5.17,12.09,9.96,5.98,8.99,2.22,5.35,6.84,5.05
ENSG00000004142,POLDIP2,31.03,40.63,42.72,32.32,36.47,18.73,47.04,37.1,30.24
ENSG00000004399,PLXND1,8.24,13.62,12.76,8.88,13.86,5.52,8.62,12.06,6.33
ENSG00000004455,AK2,1.81,5.84,3.01,2.95,3.26,3.13,5.17,5.52,3.19
ENSG00000004468,CD38,0.55,2.65,0.4,1.21,0.23,0.37,0.96,1.96,0.86
ENSG00000004478,FKBP4,32.44,13.75,29.74,52.62,23.69,10.61,30.07,21.66,25.34
ENSG00000004487,KDM1A,25.32,18.25,20.33,22.08,17.83,4.8,14.39,13.31,17.07
ENSG00000004534,RBM6,5.07,11.1,2.9,5.62,6.57,3.56,6.65,10.96,5.18
ENSG00000004660,CAMKK1,21.78,5.02,13.96,13.92,21.54,1.81,15.06,7.7,16.36
ENSG00000004700,RECQL,3.66,4.14,3.96,4.64,3.19,0.81,2.95,2.92,3.93
ENSG00000004766,VPS50,7.23,2.42,7.84,6.35,7.06,0.52,1.98,1.82,5.79
ENSG00000004776,HSPB6,6.95,21.69,5.93,7.36,6.01,21.51,23.03,18.52,9.67
ENSG00000004777,ARHGAP33,28.68,27.43,38.68,22.72,25.25,7.04,8.98,15.62,10.67
ENSG00000004779,NDUFAB1,77.18,34,93.54,107.97,67.24,28.25,62.22,39.34,82.42
ENSG00000004799,PDK4,1.94,6.06,1.18,3,2.24,8.27,11.3,5.8,4.78
ENSG00000004809,SLC22A16,0.05,0.02,0.04,0,0.04,0.01,0.32,0.01,0
ENSG00000004838,ZMYND10,1.35,1.65,5.19,1.69,1.16,0.56,0.37,0.64,1.36
ENSG00000004846,ABCB5,0.09,0,0.01,0,0,0,0,0,0.11108725
ENSG00000004848,ARX,6.16,7.27,13.5,6.1,6.22,1.43,2.18,5.34,3.73
ENSG00000004864,SLC25A13,2.04,2.73,2.07,1.42,1.97,0.68,1.55,3.04,2.42
ENSG00000004866,ST7,3.19,3.11,3.91,5.46,2.96,0.9,3.66,2.2,2.69
ENSG00000004897,CDC27,11.52,4.71,11.2,20,7.65,1.55,3.63,4.46,9.52
ENSG00000004939,SLC4A1,0.03,0.04,0.02,0.08,0.02,0.03,0,0.02,0
ENSG00000004948,CALCR,0,0.03,0.1,0.2,0.1,0,0.5,0.03,0
ENSG00000004961,HCCS,9.81,4.11,9.07,15.26,8.76,1.13,6.08,3.06,8.87
ENSG00000004975,DVL2,0.91,8.18,2.84,1.6,4.29,3.4,5.49,5.6,2.54
ENSG00000005001,PRSS22,0.26,0,0,0.02,0.03,0,0.17,0,0
ENSG00000005007,UPF1,8.67,20.27,10.43,5.13,14.16,6.44,13.65,17.34,8.12
ENSG00000005020,SKAP2,5.53,0.95,4.68,6.34,5.47,0.41,1.56,1.25,5.03
ENSG00000005022,SLC25A5,93.55,190.65,128.28,117.35,93.98,56.12,172.25,85.12,115.2
ENSG00000005059,CCDC109B,2.69,0.93,5.46,2.24,2.23,0.28,0,0.62,1.63
ENSG00000005073,HOXA11,0,0,0,0,0,0,0,0,0.01
ENSG00000005075,POLR2J,10.36,18.96,18.83,10.77,10.23,30.19,23.65,20.55,12.82
ENSG00000005100,DHX33,3,4.06,2.21,1.7,5.31,2.29,3.05,3.09,3.39
ENSG00000005102,MEOX1,0.04,0,0,0,0,0,0.28,0,0
ENSG00000005108,THSD7A,2.53,2.38,3.52,2.76,5.32,0.4,1.04,1.2,2.92
ENSG00000005156,LIG3,1.23,2.27,1.4,1.56,2.9,0.58,1.38,1.81,2.05
ENSG00000005175,RPAP3,5.4,2.58,6.02,4.65,4.98,0.73,1.97,2.47,4.36
ENSG00000005187,ACSM3,0.17,0.31,0.48,0.44,0.16,0.42,0.21,0.14,0.32
ENSG00000005189,AC004381.6,1.05,0.97,1.28,1.83,1.11,0.21,0.68,0.29,1.07
ENSG00000005194,CIAPIN1,16.85,11.49,26.06,17.11,17.45,3.65,15.18,7.71,14.8
ENSG00000005206,SPPL2B,3.27,16.78,5.77,2.53,5.42,9.18,9.01,11.79,3.88
ENSG00000005238,FAM214B,2.75,7.44,4.98,2.13,3.8,2.8,4.53,4.16,2.82
ENSG00000005243,COPZ2,2.66,3.63,1.67,3.03,1.99,11,9.61,8.52,4.5
ENSG00000005249,PRKAR2B,46.53,7.34,58.9,37.41,26.84,2.44,12.29,8.66,29.22
ENSG00000005302,MSL3,4.86,2.85,5.23,6.37,4.73,1.04,3.61,2.2,4.16
ENSG00000005339,CREBBP,4.1,10.12,5.23,3.11,9.33,2.43,5.38,7.51,5.13
ENSG00000005379,BZRAP1,15.05,39.69,16.18,16.4,30.95,23.1,29.49,25.77,15.3
ENSG00000005381,MPO,0.39,0.28,0.38,0.24,0.33,0.15,0.12,0.34,0.6
ENSG00000005421,PON1,0.06,0.21,0.24,0.03,0.04,0.04,0.12,0.1,0.2
ENSG00000005436,GCFC2,1.7,2.14,2.01,2.15,1.96,0.81,1.01,1.62,1.65
ENSG00000005448,WDR54,7.67,4.85,13.77,9.9,7.02,1.57,4.91,3.17,5.54
ENSG00000005469,CROT,2.11,2.38,3.1,2.48,1.68,0.71,1.33,1.76,2.05
ENSG00000005471,ABCB4,0.02,0.33,0.04,0.06,0.12,0.05,0.03,0.11,0.19
ENSG00000005483,KMT2E,6.79,10.14,5.83,7.15,9.66,2.91,6.21,8.14,7.8
ENSG00000005486,RHBDD2,108.95,80.59,145.12,116.93,128.03,34.07,100.27,65.51,109.59
ENSG00000005513,SOX8,11.1,55.46,11.26,16.33,27.45,29.75,38.09,51.55,19.5
ENSG00000005700,IBTK,4.28,3.76,3.05,2.81,4.36,1.38,3.01,3.37,4.05
ENSG00000005801,ZNF195,3.55,2.84,2.77,3.65,2.12,0.77,2.15,1.66,3.13
ENSG00000005810,MYCBP2,13.92,5.61,5.64,9.02,24.3,2.55,2.85,4.87,12.37
ENSG00000005812,FBXL3,12.36,8.52,14.21,11.11,12.26,3.61,7.27,8.19,11.37
ENSG00000005844,ITGAL,0.44,0.39,0.07,0.07,0.48,0.18,0.11,0.4,0.61
ENSG00000005882,PDK2,12.2,19.6,15.43,11.12,16.71,9.52,19.85,13.49,13.73
ENSG00000005884,ITGA3,2.87,6.17,3.27,1.58,3.95,1.58,3.42,3.48,2.2
ENSG00000005889,ZFX,1.56,2.89,1.42,0.97,3.01,0.81,1.82,1.81,2.12
ENSG00000005893,LAMP2,19.87,11.18,10.01,14.44,22.27,12.14,12.62,21.62,27.57
ENSG00000005961,ITGA2B,0.03,0.28,0.19,0.14,0.15,0.1,0.56,0.28,0.26
ENSG00000005981,ASB4,0,0.1,0.02,0.03,0.04,0.02,0.03,0.22,0.22
ENSG00000006007,GDE1,29.98,30.96,28.72,26.28,39.63,13.53,35.44,27.56,34.6
ENSG00000006015,C19orf60,30.13,28.28,59.87,36.46,35.47,35.57,40.2,46.1,22.97
ENSG00000006016,CRLF1,3.08,5.7,2.16,3.04,1.95,7.24,13.52,10.21,4.89
ENSG00000006025,OSBPL7,1.2,3.42,1.74,0.85,2.81,1.3,2.1,3.65,1.57
ENSG00000006042,TMEM98,1.17,12.69,6.63,5.7,10.51,8.36,11.03,12.83,11.76
ENSG00000006047,YBX2,1.53,1.1,1.34,1.57,1.44,0.71,1.24,1.64,1.02
ENSG00000006059,KRT33A,0.33,0.05,0.02,0.03,0,0,0,0,0.03
ENSG00000006062,MAP3K14,0.72,1.78,0.45,1.15,2.18,0.5,1.32,1.16,1.2
ENSG00000006071,ABCC8,2.22,3.04,1.39,1.31,3.65,0.39,4.15,2.19,2.15
ENSG00000006116,CACNG3,43.83,13.14,40.11,65.05,64.68,4.13,31.58,25.46,33.7
ENSG00000006118,TMEM132A,26.31,39.43,58.26,36.35,31.88,31.66,38.9,36.75,19.45
ENSG00000006125,AP2B1,90.55,57.1,88.27,93.77,103.6,13.81,45.09,39.45,69.14
ENSG00000006128,TAC1,22.22,1.8,39.8,14.57,17.2,0.42,0,2.58,21.01
ENSG00000006194,ZNF263,4.89,5.36,6.22,6.2,6.46,1.3,4.3,4.38,4.71
ENSG00000006210,CX3CL1,89.84,60.32,100.35,78.96,189.87,17.17,69.77,50.63,62.4
ENSG00000006282,SPATA20,6.69,9.28,12.09,8.84,5.02,4.58,11.54,12.82,7.18
ENSG00000006283,CACNA1G,5.45,5.4,4.4,3.25,13.28,1.49,3.56,4.93,4.01
ENSG00000006327,TNFRSF12A,0.49,2.51,0.7,0.4,0.89,5.27,3.02,1.03,0.5
ENSG00000006377,DLX6,1.7,0.74,1.3,0.83,0.74,0.02,0,0.38,1.48
ENSG00000006432,MAP3K9,3.44,0.46,1.31,2.01,5.94,1.19,0.51,1,2.92
ENSG00000006451,RALA,31.48,18.34,38.4,30.79,20.62,6.87,17.54,15.58,21.29
ENSG00000006453,BAIAP2L1,0.22,0.39,0.1,0.1,0.26,0.33,0.43,0.69,0.07
ENSG00000006459,KDM7A,2.2,2.63,1.22,2.59,3.16,0.52,1.21,1.88,2.33
ENSG00000006468,ETV1,7.82,10.63,11.2,8.38,6.28,1.92,2.52,4.49,8.15
ENSG00000006530,AGK,5.77,4.55,7.25,6.61,5.32,0.68,3.4,2.53,5.35
ENSG00000006534,ALDH3B1,0,0.55,0.1,0.15,0.28,0.34,0.61,0.71,0.27
ENSG00000006555,TTC22,0.2,0.07,0.09,0.05,0.12,0.01,0,0.05,0.02
ENSG00000006576,PHTF2,3.19,1.58,4.17,3.4,3.55,0.61,1.15,1.48,2.37
ENSG00000006606,CCL26,0,0.09,0,0.23,0.16,0.45,1.36,0.27,0.14
ENSG00000006607,FARP2,1.4,2.62,1.46,0.95,2.05,0.77,2.06,1.98,1.4
ENSG00000006611,USH1C,0.37,0.16,0.07,0.86,0.44,0.65,1.21,0.51,0.95
ENSG00000006625,GGCT,12.52,8.02,15.87,21.75,11.13,4.55,8.58,8.99,10.89
ENSG00000006634,DBF4,0.54,0.43,0.85,0.47,0.68,0.12,0.55,0.5,0.76
ENSG00000006638,TBXA2R,0.33,1.21,0.7,0.11,0.31,0.85,0.7,1.31,0.42
ENSG00000006652,IFRD1,4.95,2.87,5.22,6.86,4.49,1.66,3.11,2.71,4.3
ENSG00000006659,LGALS14,0.3,0,0.43,0.11,0.22,0,0,0.06,0
ENSG00000006695,COX10,3.29,3.33,3.48,2.81,3.15,0.92,2.8,2.74,3.02
ENSG00000006704,GTF2IRD1,0.71,2.56,1.5,0.99,1.57,0.59,1.45,2.04,1.16
ENSG00000006712,PAF1,25.88,24.44,29.4,22.82,24.39,19.26,25.06,29.95,19.32
ENSG00000006715,VPS41,15.1,11.41,13.67,18.57,21.13,3.29,11.73,9.76,13.31
ENSG00000006740,ARHGAP44,29.34,9.85,27.24,34.31,40.3,2.14,16.07,12.06,25.25
ENSG00000006744,ELAC2,5.51,8.11,6.55,6.24,6.83,3.21,6.29,7,5.05
ENSG00000006747,SCIN,0.28,0.06,0.17,0.15,0.53,0.03,0,0.04,0.12
ENSG00000006756,ARSD,0.65,4.71,0.82,0.6,1.18,0.93,2.16,2.63,1.24
ENSG00000006757,PNPLA4,3.55,3.87,2.71,4.26,3.25,1.24,3.6,3.51,4.73
ENSG00000006788,MYH13,0.21,0,0.01,0.03,0.01,0,0.23,0.02,0.2
ENSG00000006831,ADIPOR2,6.72,12.84,5.4,6.52,12.42,6.16,13.03,12.04,11.88
ENSG00000006837,CDKL3,10.96,4.78,11.59,8.23,10.84,1.03,4.58,4.03,8.53
ENSG00000007001,UPP2,1.3,0.92,2.12,1.84,1.56,0.09,0.97,0.42,1.37
ENSG00000007038,PRSS21,0.14,0.08,0,0,0,0,0,0,0
ENSG00000007047,MARK4,18.23,13.35,19.77,15.76,19.3,5.38,8.18,12.57,12.3
ENSG00000007062,PROM1,2.46,5.19,2.12,1.45,1.81,0.5,0.81,2.54,1.09
ENSG00000007080,CCDC124,65.89,52.51,141.12,70.35,62.29,64.1,78.54,83.96,40.7
ENSG00000007129,CEACAM21,0.53,0.1,0.19,0.02,0.3,0.18,0.99,0.12,0.49
ENSG00000007168,PAFAH1B1,83.83,32.46,67.36,72.26,90.56,7.88,26.93,25.22,67.09
ENSG00000007171,NOS2,1.82,1.05,2.19,2.51,3.14,0.23,1.87,1.18,0.93
ENSG00000007174,DNAH9,0.07,0.16,0.15,0.09,0.2,0.06,0,0.2,0.18
ENSG00000007202,KIAA0100,16.76,20.36,17.35,20.36,26.69,4.69,16.03,16.52,19.28
ENSG00000007216,SLC13A2,0.36,0,0,0,0,0,0,0,0.24
ENSG00000007237,GAS7,67.98,15.61,35.32,77.66,107.92,9.36,28.12,28.5,55.33
ENSG00000007255,TRAPPC6A,7.94,11.48,17.85,11.9,10.78,19.4,16.67,16.56,9.25
ENSG00000007264,MATK,33.9,20.12,85.43,47.84,33.9,18.62,34.23,26.83,23.26
ENSG00000007306,CEACAM7,0.1,0,0,0,0.05,0,0,0.05,0.07
ENSG00000007312,CD79B,0.04,0.21,0.35,0.16,0.16,0.18,0.48,0.18,0.2
ENSG00000007314,SCN4A,0.02,0.02,0,0.04,0.05,0,0,0.05,0.11
ENSG00000007341,ST7L,1.25,1.49,1.13,0.84,0.83,0.56,0.69,1.19,0.98
ENSG00000007350,TKTL1,0,0.26,0.1,0.13,0.05,0,0.81,0.09,0
ENSG00000007372,PAX6,0.04,4.14,1.35,1.63,0.61,1.96,2.56,2.92,1.15
ENSG00000007376,RPUSD1,7.25,8.83,14.25,8.72,9.26,6.9,11.03,6.41,5.33
ENSG00000007384,RHBDF1,0.39,5.69,0.84,0.67,1.47,2.22,2.58,2.7,0.91
ENSG00000007392,LUC7L,5.75,10.74,5.53,6.83,4.34,4.3,6.57,10.89,4.59
ENSG00000007402,CACNA2D2,2.3,2.25,2.53,1.62,5.49,0.47,2.32,2.13,2.45
ENSG00000007516,BAIAP3,12.09,5.7,12.35,10.46,10.37,4.94,11.56,8.57,12.33
ENSG00000007520,TSR3,41.5,33.79,60.86,59.73,32.51,44.4,49.15,48.54,30.71
ENSG00000007541,PIGQ,4.16,10.55,7.33,5.56,7.62,6.46,7.53,7.34,3.61
ENSG00000007545,CRAMP1,1.75,3.64,1.53,1.51,3.07,0.58,2.55,2.34,1.9
ENSG00000007866,TEAD3,0.09,1.76,0.49,0.24,0.45,0.97,0.89,1.62,0.46
ENSG00000007908,SELE,0.31,0.53,0.01,0.49,0.07,0,0.86,0.46,0.07
ENSG00000007923,DNAJC11,9.62,9.34,10.2,10.89,11.4,3.74,9.23,8.48,7.87
ENSG00000007933,FMO3,0,0.37,0.27,0.15,0.27,0.25,0.31,0.5,0.39
ENSG00000007944,MYLIP,6.53,2.53,6.69,6.52,6.61,1.83,2.69,5.15,5
ENSG00000007952,NOX1,0.18,0.29,0.25,0.32,0.1,0.16,0.62,0.2,0.22
ENSG00000007968,E2F2,0,0.18,0.05,0.01,0.02,0,0,0.05,0
ENSG00000008018,PSMB1,32.97,28.8,46.9,39.58,27.5,18.94,32.31,22.93,33.51
ENSG00000008056,SYN1,148.59,54.64,110.47,115.34,169.11,10.74,88.69,65.21,110.79
ENSG00000008083,JARID2,2.1,4.57,1.85,1.37,3.13,1.76,3.02,4.3,2.02
ENSG00000008086,CDKL5,7.64,1.12,2.54,5.74,18.79,1.08,0.65,1.36,6.19
ENSG00000008118,CAMK1G,16.65,5.04,11.51,18.88,18.97,0.69,15.79,8.63,14.62
ENSG00000008128,CDK11A,1.25,2.38,0.85,1.77,1.17,0.88,2.02,2.32,1.53
ENSG00000008130,NADK,4.04,5.45,5.33,3.66,4.76,1.69,3.66,4.62,3.38
ENSG00000008196,TFAP2B,0.03,0,0.01,0,0,0.01,0,0,0.06
ENSG00000008197,TFAP2D,0,0,0.06,0.3,0.08,0,0,0.03,0.19
ENSG00000008226,DLEC1,1.61,2.55,2.28,2.23,1.38,2.23,3.43,3.17,1.83
ENSG00000008256,CYTH3,10.16,16.94,13.38,5.31,15,4.09,13.53,14.66,8.86
ENSG00000008277,ADAM22,11.51,4.82,7.53,6.56,17.1,0.83,4.71,3.64,9.5
ENSG00000008282,SYPL1,8.59,25.65,12.66,9.1,10.62,10.77,18.93,18.92,12.73
ENSG00000008283,CYB561,15.97,6.94,24.99,13.93,18.61,1.55,7.64,6.87,10.82
ENSG00000008294,SPAG9,11.98,22.26,10.19,12.3,18.03,5.03,13.6,17.75,15.16
ENSG00000008300,CELSR3,0.14,2.35,2.17,1.14,3.8,0.63,1.75,1.86,1.31
ENSG00000008311,AASS,0.1,5.16,0.33,0.64,0.85,0.77,1.74,2.85,1.09
ENSG00000008323,PLEKHG6,0,0,0,0,0,0.02,0,0,0
ENSG00000008324,SS18L2,10.46,9.28,13.23,10.62,12.07,5.7,9.19,9.52,10.15
ENSG00000008382,MPND,15.55,11.29,22.92,19.32,16.14,11.27,18.84,15.78,10.46
ENSG00000008394,MGST1,1.56,0.49,1.21,2.06,0.78,2.57,5.27,3.47,4.31
ENSG00000008405,CRY1,3.68,3.26,3.86,2.62,3.59,1.29,2.92,2.75,3.22
ENSG00000008438,PGLYRP1,0.25,0.1,0,0.04,0.08,1.12,0.9,1.23,0.18
ENSG00000008441,NFIX,28.08,47.56,32.87,40.36,43.02,41.39,47.02,52.68,24.04
ENSG00000008513,ST3GAL1,2.33,4.95,2.64,2.95,4.8,1.71,3.08,5.69,2.36
ENSG00000008516,MMP25,0.43,2.84,1.58,0.31,0.44,1.42,1.31,0.47,0.35
ENSG00000008517,IL32,0.77,4.94,1.77,1.63,1.05,7.13,5.01,1.15,0.9
ENSG00000008710,PKD1,2.46,7.4,2.67,3.89,5.2,3.6,5.96,6.2,2.56
ENSG00000008735,MAPK8IP2,82.39,30.88,102.71,84.63,66.19,38.15,56.5,35.7,56.69
ENSG00000008838,MED24,13.41,18.07,27.55,12.12,17.36,3.51,11.11,11.01,10.47
ENSG00000008853,RHOBTB2,26.01,20.16,24.9,23.35,45.56,10.87,22.76,28.79,18.65
ENSG00000008869,HEATR5B,7.04,3.56,4.78,7.28,6.82,0.52,2.21,2.52,5.49
ENSG00000008952,SEC62,36.08,18.28,42.47,50.75,23.81,39.14,28.97,26.55,34.53
ENSG00000008988,RPS20,82.15,48.36,72.85,89.53,31.5,110.19,78.07,58.5,54.63
ENSG00000009307,CSDE1,80.1,38.25,46.26,85.45,58.41,16.21,41.54,46.42,64.51
ENSG00000009335,UBE3C,8.43,5.89,7.46,5.08,9.42,1.44,4.44,4.76,7.11
ENSG00000009413,REV3L,2.75,5.19,2.11,1.52,2.95,0.62,1.22,2.32,2.19
ENSG00000009694,TENM1,3.29,1.61,3.79,1.79,4.07,0.3,0.23,0.94,2.1
ENSG00000009709,PAX7,0.32,0.16,0.07,0.22,0.77,0.09,0.79,0.11,0.37
ENSG00000009724,MASP2,0.57,0.82,0.39,0.37,0.47,0.06,0.6,0.33,0.5
ENSG00000009765,IYD,0.01,0,0.02,0.01,0,0,0.02,0,0
ENSG00000009780,FAM76A,2.07,1.71,2.27,2.21,2.55,0.95,1.64,2.22,1.97
ENSG00000009790,TRAF3IP3,0,0.19,0.11,0.1,0.26,0.06,0,0.26,0.22
ENSG00000009830,POMT2,1.01,4.28,1.42,0.98,2.07,1.5,3,3.72,1.42
ENSG00000009844,VTA1,34.16,11.89,44.26,32.99,22.92,3.03,13.24,10.22,23.15
ENSG00000009950,MLXIPL,0.63,1.45,0.03,0.23,1,0.37,1.71,1.93,1.07
ENSG00000009954,BAZ1B,7.83,11.85,4.42,6.67,9.88,3.01,8.1,12.24,8.79
ENSG00000010017,RANBP9,20.73,12.32,20.9,19.53,20.5,2.78,12.85,11.44,18.43
ENSG00000010030,ETV7,0.18,0.16,0.24,0.03,0.13,0.1,0.22,0.12,0.05
ENSG00000010072,SPRTN,1.35,1.82,1.81,1.39,1.45,0.34,1.15,1.34,1.5
ENSG00000010165,METTL13,7.66,4.55,7.45,8.96,7.96,1.97,4.69,4.87,6.43
ENSG00000010219,DYRK4,1.85,2.41,1.65,1.54,1.84,0.99,1.41,2,2.12
ENSG00000010244,ZNF207,5.8,5.5,6.17,7.56,6.2,1.84,5.05,4.98,5.8
ENSG00000010256,UQCRC1,50.24,49.64,75.83,66.82,56.58,27.88,65.08,45.24,45.49
ENSG00000010270,STARD3NL,12.74,9.46,23.14,15.21,11.33,2.99,10.71,6.36,12.12
ENSG00000010278,CD9,17.34,36.92,16,21.03,36.12,25.76,34.67,31.84,26.13
ENSG00000010282,HHATL,4.34,0.93,0.25,5.32,3.99,8.88,18.45,11.74,9.34
ENSG00000010292,NCAPD2,0.31,3.26,1.29,1.19,2.86,1.14,1.74,3.02,2.22
ENSG00000010295,IFFO1,3.45,4.57,2.89,2.96,4.44,1.69,4.61,4.26,3.16
ENSG00000010310,GIPR,0.3,0,0.05,0,0.06,0.36,0,0.1,0
ENSG00000010318,PHF7,1.25,1.58,0.88,1.21,1.63,0.79,1.69,1.9,1.18
ENSG00000010319,SEMA3G,2.77,14.63,4.18,2.21,6.33,5.02,11.77,18.37,3.93
ENSG00000010322,NISCH,16.57,11.53,15.47,14.39,25.21,4.65,14.49,10.88,13.79
ENSG00000010327,STAB1,0.91,4.25,1.36,0.94,2.87,0.93,1.3,2.16,0.99
ENSG00000010361,FUZ,6.07,10.84,10.38,8.11,7.2,10.23,11.89,12.76,6.74
ENSG00000010379,SLC6A13,1.06,4.51,2.43,0.64,1.22,2.69,3.86,3.74,1.66
ENSG00000010404,IDS,164.87,42.12,128.57,218.73,174.71,11.54,83.66,28.43,151.96
ENSG00000010438,PRSS3,10.67,1.43,1.79,3.81,8.42,2.13,18.77,5.1,12.59
ENSG00000010539,ZNF200,1.37,1.24,2.46,2.49,1.5,0.28,0.78,0.98,1.43
ENSG00000010610,CD4,1.85,5.71,2.02,1.59,4.18,2.66,3.3,3.3,2.24
ENSG00000010626,LRRC23,3.19,3.07,3.07,3.54,2.74,3.73,4.16,4.21,3.8
ENSG00000010671,BTK,0,0.24,0.05,0.13,0.58,0.06,0.27,0.31,0.05
ENSG00000010704,HFE,0,0.45,0.23,0.14,0.32,0.26,0.24,0.78,0.25
ENSG00000010803,SCMH1,7.72,8.38,9.89,7.84,9.57,1.71,8.18,5.55,5.82
ENSG00000010810,FYN,18.61,45.07,16.97,19.85,22.26,11.61,27,32.87,18.74
ENSG00000010818,HIVEP2,34.35,11.06,28.94,17.14,59.75,3.81,10.23,11.94,21.78
ENSG00000010932,FMO1,0.1,0.08,0.13,0.08,0.04,0.04,0,0.15,0.03
ENSG00000011007,TCEB3,5.63,6.83,4.61,6.12,5.94,1.71,4.72,5.74,5.59
ENSG00000011009,LYPLA2,6.68,8.1,19.05,6.7,7.43,3.06,7.79,6.04,5.25
ENSG00000011021,CLCN6,9.22,9.55,6.95,8.22,13.56,2.1,9.15,6.87,9.18
ENSG00000011028,MRC2,1.24,7.43,3.29,1.56,2.42,3.18,2.68,3.29,1.82
ENSG00000011052,NME1-NME2,69.16,46.79,104.36,73.3,55.83,32.83,71.68,39.7,52.1
