Ensemble_ID,Gene_symbol,H376.VI.50_OFC,H376.VI.51_OFC,H376.VI.52_OFC,H376.VII.51_OFC,H376.VIII.51_OFC,H376.VIII.53_OFC,H376.VIII.52_OFC,H376.VIII.54_OFC,H376.VIII.50_OFC
ENSG00000138785,INTS12,4.15,4.06,3.93,4.74,2.78,1.38,3.6,2.93,3
ENSG00000138792,ENPEP,0.39,0.98,0.7,0.33,0.58,0.32,0.38,1.56,0.39
ENSG00000138794,CASP6,0.61,1.31,0.6,0.78,0.5,0.58,1.26,1.26,0.77
ENSG00000138795,LEF1,1.63,9.75,1.1,2.44,2.05,2.68,5.14,4.97,2.48
ENSG00000138796,HADH,6.17,10.7,9.93,8.86,7.31,4.71,9.89,9,8.47
ENSG00000138798,EGF,0.33,0.04,0.12,0.12,0.22,0,0,0.11,0.09
ENSG00000138801,PAPSS1,38.8,22.56,52.69,43.61,36.42,6.43,20.96,20.76,32.52
ENSG00000138802,SEC24B,6.66,7.33,8.61,5.15,8.38,2.12,4.14,5.08,7.03
ENSG00000138813,C4orf17,0,0,0,0,0,0,0,0,0.16
ENSG00000138814,PPP3CA,95.09,25.53,85.29,91.82,78.72,21.6,39.92,30.87,86.02
ENSG00000138821,SLC39A8,2.3,5.57,2.27,4.2,2.43,2.24,5.29,5.26,2.86
ENSG00000138823,MTTP,0.03,0.12,0.06,0.17,0.12,0.09,0,0.1,0.06
ENSG00000138829,FBN2,0,0.26,0.06,0.07,0.07,0.01,0,0.14,0
ENSG00000138834,MAPK8IP3,39.28,29.11,37.01,27.02,49.98,18.29,33.97,32.55,26.56
ENSG00000138835,RGS3,0.44,2.21,1.62,1.5,1.75,0.99,2.51,1.68,1.63
ENSG00000138867,GUCD1,3.38,14.08,5.74,3.69,6.2,3.98,10.32,8.39,5.24
ENSG00000138892,TTLL8,0.08,0,0,0,0,0,0.105365,0,0.1
ENSG00000138942,RNF185,7.21,10.02,9.74,6.6,9.51,2.48,9.05,6.31,7.95
ENSG00000138944,KIAA1644,16.11,9.68,14.32,23.55,26.25,2.34,12.86,7.25,16.29
ENSG00000138964,PARVG,0.25,0.36,0.15,0.06,0.47,0.12,0.45,0.28,0.14
ENSG00000139044,B4GALNT3,1.04,0.45,0.36,0.33,0.52,0.26,0,0.78,0.54
ENSG00000139053,PDE6H,0.25,0,0,0,0.42,0.21,0.25,0,0.19
ENSG00000139055,ERP27,0.04,0.03,0,0,0.03,0.03,0,0,0
ENSG00000139083,ETV6,1.19,1.29,1,1.53,2.51,0.58,1.09,1.51,1.13
ENSG00000139112,GABARAPL1,100.97,35.39,73.64,127.63,110.67,13.09,55.94,45.99,86.42
ENSG00000139116,KIF21A,13.17,6.57,14.42,9.43,17.32,3.49,5.66,7.42,12.64
ENSG00000139117,CPNE8,5.72,1.25,9.51,8.06,6.85,0.38,2.59,2.14,4.16
ENSG00000139131,YARS2,5.48,2.88,7.03,8.34,5.71,0.35,4.38,3.06,4.97
ENSG00000139132,FGD4,1.94,2.3,2.88,0.79,1.38,0.89,1.14,1.67,2
ENSG00000139133,ALG10,0.15,0.44,0.24,0.25,0.28,0.04,0,0.13,0.18
ENSG00000139144,PIK3C2G,0.21,0.05,0.23,0.75,0.35,0.05,0,0.05,0.39
ENSG00000139146,FAM60A,0.49,0.9,0.54,0.21,0.36,0.23,1.09,0.44,0.75
ENSG00000139151,PLCZ1,0.02,0,0,0.03,0.02,0,0.135523,0,0.04
ENSG00000139154,AEBP2,3.63,3.04,4.15,3.85,4.15,2.13,3.45,5.96,3.86
ENSG00000139155,SLCO1C1,4.06,39.47,12.08,11.2,3.21,8.24,20.13,13.39,6.73
ENSG00000139160,METTL20,5.11,3.08,8.3,6.35,4.51,1.35,3.91,2.87,5.18
ENSG00000139163,ETNK1,4.89,3.26,5.28,4.24,6.44,0.53,1.98,1.24,4.73
ENSG00000139168,ZCRB1,12.56,8.66,13.35,19.37,9.24,13.59,12.02,9.67,13.09
ENSG00000139173,TMEM117,2.51,3.19,3.88,1.74,3.06,0.73,2.06,2.14,2.2
ENSG00000139174,PRICKLE1,8.77,5.01,4.87,4,12.97,1.97,4.89,4.47,7.8
ENSG00000139178,C1RL,0.97,1.56,0.98,1.7,1.69,0.62,1.84,1.5,1.1
ENSG00000139180,NDUFA9,10.31,6.55,13.61,15.91,11.22,3.35,12.13,6.58,10.6
ENSG00000139182,CLSTN3,55.59,12.86,50.37,44.16,100.07,3.41,25.1,16.01,35.44
ENSG00000139187,KLRG1,1.07,0.34,0.8,1.12,0.77,0.12,0.8,0.46,0.58
ENSG00000139190,VAMP1,10.69,3.31,2.77,3.5,6.94,1.23,14.28,3.96,9.87
ENSG00000139192,TAPBPL,2.09,5.17,1.07,2.24,2.27,1.7,7.54,3.26,3.08
ENSG00000139193,CD27,0.92,2.31,1.49,0.8,1.9,1.35,2.11,1.72,1.12
ENSG00000139194,RBP5,0.35,0.23,0.41,0.28,0.43,0.35,0.11,0.31,0.48
ENSG00000139197,PEX5,14.65,16.75,16.84,16.97,18.35,8.74,15.59,13.08,12.92
ENSG00000139200,PIANP,31.95,25.63,28.17,26.34,40.91,3.77,21.55,17.1,28.18
ENSG00000139209,SLC38A4,0,0.03,0.15,0.04,0.05,0.03,0,0.03,0.15
ENSG00000139211,AMIGO2,2.2,0.77,3.44,1.36,1.45,0.18,0,0.78,1.57
ENSG00000139218,SCAF11,1.12,3.65,0.97,1.23,1.7,0.86,1.45,2.62,1.78
ENSG00000139219,COL2A1,0,0.07,0.02,0,0.01,0.1,0.55,0.01,0
ENSG00000139220,PPFIA2,16.47,4.9,14.68,20.06,21.87,1.89,4.29,4.52,11.43
ENSG00000139223,ANP32D,0.56,1.13,0.13,1.94,2.1,0.41,1.15,0.48,1.07
ENSG00000139233,LLPH,5.12,4.66,4.17,6.75,5.01,5.19,4.85,5,4.74
ENSG00000139263,LRIG3,0.22,0.41,0.15,0.32,0.31,0.11,0,0.51,0.48
ENSG00000139266,9-Mar,6.53,7.62,9.76,5.42,6.99,2.8,5.21,4.29,3.86
ENSG00000139269,INHBE,0.21,0.11,0.04,0.12,0.06,0.08,0,0.1,0.2
ENSG00000139278,GLIPR1,2.84,1.28,2.42,2.22,2.99,0.81,1.38,1.17,2.54
ENSG00000139287,TPH2,0,0,0.04,0.08,0.12,0,0,0,0
ENSG00000139289,PHLDA1,3.11,10.31,5.06,4.68,6.32,2.97,5.1,6.97,5.1
ENSG00000139291,TMEM19,7.26,5.75,9.43,6.16,8.58,6.1,6.14,5.86,6.27
ENSG00000139292,LGR5,0.64,0.43,0.34,0.35,0.82,0.29,0.29,0.72,0.74
ENSG00000139304,PTPRQ,0,0.02,0.01,0.04,0.02,0.01,0.41,0.03,0
ENSG00000139318,DUSP6,14.76,18.69,21.05,15.94,25.27,1.91,12.08,13.61,12.1
ENSG00000139323,POC1B,1.31,1.57,1.15,1.96,1.24,0.58,2.08,1.46,1.42
ENSG00000139324,TMTC3,2.59,2.25,3.49,3.56,2.65,0.87,1.89,1.77,2.79
ENSG00000139329,LUM,1.43,1.6,3.41,2.39,1.41,0.48,1.73,1.03,1.16
ENSG00000139330,KERA,0.29,0.06,0.43,0.06,0.11,0,0.6,0.09,0.16
ENSG00000139343,SNRPF,4.24,3.41,3.84,4.85,3.13,2.44,3.25,3.95,3.37
ENSG00000139344,AMDHD1,0.55,0.07,0.3,0.63,0.35,0,0.94,0,0.47
ENSG00000139350,NEDD1,0.42,1.67,0.53,0.58,0.54,0.36,0.93,1.39,0.61
ENSG00000139351,SYCP3,1.17,1.45,1.61,2.19,1.08,2.57,2.64,3.3,1.77
ENSG00000139352,ASCL1,1.57,7.04,4.49,4.05,5.12,7.47,6.61,5.16,3.26
ENSG00000139354,GAS2L3,0.37,0.41,0.38,0.29,0.36,0.06,0,0.15,0.25
ENSG00000139364,TMEM132B,8.9,16.92,10.25,8.04,15.64,2.23,6.9,8.37,7.73
ENSG00000139370,SLC15A4,1.6,2.52,1.47,1.37,1.83,1.28,2.46,2.22,1.96
ENSG00000139372,TDG,2.51,1.8,2.92,1.1,1.64,0.33,0.85,1.17,1.49
ENSG00000139405,RITA1,11.8,9.03,17.33,12.42,12.8,3.88,13.17,8.06,10.29
ENSG00000139410,SDSL,2.16,3.57,5.62,1.87,1.58,3.06,6.16,3.92,3.15
ENSG00000139428,MMAB,4.54,6.55,6.72,6.49,5.96,4.33,6.59,5.83,4.88
ENSG00000139433,GLTP,5.96,16.88,4.57,5.87,17.09,12.76,18.04,19.77,12.43
ENSG00000139436,GIT2,1.63,3.22,1.2,1.86,2.61,0.57,1.89,2.51,1.93
ENSG00000139437,TCHP,2.43,6.73,1.99,3.03,3.25,0.95,4.2,5.69,3.05
ENSG00000139438,FAM222A,2.04,5.82,2.12,1.72,4.55,4.02,6.19,7.49,3.56
ENSG00000139445,FOXN4,0,0.13,0.09,0.01,0.02,0.05,0,0.07,0
ENSG00000139496,NUP58,4.09,2.3,5,2.47,4,0.54,1.74,2.03,3.68
ENSG00000139505,MTMR6,14.23,4.04,18.21,17.12,11.97,1.51,5.68,4.51,13.57
ENSG00000139508,SLC46A3,1.22,4.1,1.22,0.6,1.6,0.47,3.12,2.55,1.83
ENSG00000139514,SLC7A1,9.19,24.53,9.8,6.42,14.5,3.3,10.58,13.07,9.11
ENSG00000139515,PDX1,0.05,0,0,0,0,0,0,0,0.15
ENSG00000139517,LNX2,2.05,1.67,3.22,1.4,2.13,0.4,0.96,1.3,2.07
ENSG00000139531,SUOX,4.43,9.36,6.34,3.76,4.68,2.42,7.4,6.17,4.15
ENSG00000139537,CCDC65,3.52,2.58,1.97,3.75,2.38,0.82,2.76,1.49,3.29
ENSG00000139540,SLC39A5,0,0.19,0.02,0.01,0.05,0.03,0.32,0.07,0
ENSG00000139546,TARBP2,2.31,3.64,5.36,2.46,2.77,1.39,2.39,1.97,2.2
ENSG00000139547,RDH16,0,0.32,0.05,0.06,0.05,0.07,0.04,0.11,0
ENSG00000139549,DHH,0.4,0.13,0.3,0,0.16,0.21,0.19,0.4,0.08
ENSG00000139567,ACVRL1,1.35,7.02,3.34,0.83,2.19,4.66,4.86,5.63,1.62
ENSG00000139572,GPR84,0,0.03,0,0.16,0.14,0,0.13,0.15,0
ENSG00000139574,NPFF,0.5,3.55,0.19,0.67,0.46,0.94,1.54,2.57,0.69
ENSG00000139579,NABP2,17.09,14.59,19.72,19.29,18.84,10.16,21.19,12.16,17.17
ENSG00000139597,N4BP2L1,2.8,4.48,2.58,2.42,3.03,1.87,3.34,3.52,3.81
ENSG00000139610,CELA1,0.07,0,0,0.04,0.04,0,0,0,0.14
ENSG00000139613,SMARCC2,16.03,19.69,10.6,18.07,19.07,5.03,15.9,18.4,15.7
ENSG00000139618,BRCA2,0.11,0.14,0.08,0.03,0.03,0.06,0.02,0.03,0.21
ENSG00000139620,KANSL2,5.72,5.62,8.43,8.67,5.94,1.48,4.77,3.71,5.1
ENSG00000139624,CERS5,3.91,8.28,6.48,4.29,4.2,3.2,5.64,5.69,4.04
ENSG00000139625,MAP3K12,6.55,8.33,6.47,7.94,9.15,2.71,6.74,7.35,5.83
ENSG00000139626,ITGB7,0.05,0.23,0.02,0.07,0.17,0.19,0.52,0.24,0.03
ENSG00000139629,GALNT6,0.39,0.09,0.03,0.07,1.75,1.41,1.98,1.61,1.35
ENSG00000139631,CSAD,0.8,4.86,1.19,1.24,1.37,1.67,2.7,3.67,1.33
ENSG00000139636,LMBR1L,1.63,5.9,5.68,4.03,4.85,1.75,2.88,3.1,1.59
ENSG00000139637,C12orf10,23.22,17.22,38.22,24.85,18.79,7.73,23.25,13.58,19.9
ENSG00000139641,ESYT1,4.42,7.06,3.61,3.5,4.95,2.17,6.08,5.25,5.05
ENSG00000139644,TMBIM6,60.29,159.41,80.38,85.95,67.66,41.48,119.12,90.42,74.04
ENSG00000139645,ANKRD52,6.63,8.21,3.66,2.72,12.19,4.57,7.13,8.81,5.77
ENSG00000139648,KRT71,0.14,0,0.02,0,0.03,0,0,0.01,0.03
ENSG00000139651,ZNF740,2.81,6.22,2.78,2.71,5.51,1.02,5.01,4.88,3.7
ENSG00000139656,SMIM2,0.41,0.08,0.47,0.17,0.16,0.1,0.11,0.12,0.2
ENSG00000139668,WDFY2,0.79,3.77,0.42,1.28,1.49,1.07,2.76,3.4,1.88
ENSG00000139675,HNRNPA1L2,2.98,3.82,2.82,2.86,2.81,0.42,2.53,2.82,2.75
ENSG00000139679,LPAR6,1.16,2.94,1.87,2.34,2.78,0.84,2.73,3.23,2.06
ENSG00000139684,ESD,32.63,21.49,28.19,43.74,27.35,9.08,23.57,20.54,30.93
ENSG00000139687,RB1,5.96,4.8,7.53,8.25,6.24,1.7,3.97,4.37,5.72
ENSG00000139697,SBNO1,7.64,3.7,5.69,5.09,9.43,1.17,4.42,3.57,6.45
ENSG00000139714,MORN3,1.89,1.07,3.16,1.73,3.33,0.77,0.75,2.15,1.28
ENSG00000139718,SETD1B,2.14,3.37,1.87,1.28,3.89,0.88,1.91,2.82,1.79
ENSG00000139719,VPS33A,3.79,2.36,2.94,3.08,3.72,0.59,3.32,2.44,3.62
ENSG00000139722,VPS37B,5.48,12.83,9.28,6.24,8.92,5.11,7.68,7.85,5.07
ENSG00000139725,RHOF,3.45,3.58,5.18,2.37,4.18,1.43,3.15,2.5,3.19
ENSG00000139726,DENR,15.58,8.19,16.64,15.08,11.13,3.36,7.83,10.37,13.07
ENSG00000139734,DIAPH3,0.62,0.53,2.16,0.5,0.28,0.46,0.84,0.53,0.39
ENSG00000139737,SLAIN1,18.98,15.57,13.99,21.61,23.3,13.25,16.89,23.86,25.71
ENSG00000139746,RBM26,5.95,3.91,5.81,6.62,4.69,3.48,3.62,5.17,4.84
ENSG00000139767,SRRM4,3.91,3.16,4.1,3.19,8.77,0.94,2.93,3.27,4.42
ENSG00000139780,METTL21C,0.87,0.35,1.73,2.77,0.45,0,0.44,0.46,0.57
ENSG00000139793,MBNL2,22.53,9.16,14.02,18.2,24.24,5.69,12.62,12.24,24.75
ENSG00000139797,RNF113B,0,0.04,0,0,0,0.12,0,0.05,0
ENSG00000139800,ZIC5,0.15,1.51,0.88,0.44,0.35,0.53,1.36,1.79,0.42
ENSG00000139826,ABHD13,4.34,1.76,7.4,3.17,4.17,0.82,2.57,1.82,3.84
ENSG00000139832,RAB20,0.52,3.13,0.86,0.88,1.39,2.98,3.4,2.08,0.92
ENSG00000139835,GRTP1,0.15,1.31,0.38,0.28,0.2,0.5,1.05,1.11,0.38
ENSG00000139842,CUL4A,5.9,5.68,6.79,7.31,6.37,1.79,4.65,5.45,5.59
ENSG00000139865,TTC6,0.22,0.02,0.01,0.03,0.01,0.04,0,0.01,0.15
ENSG00000139874,SSTR1,20.09,8.21,38.94,13.22,27.13,0.9,3.26,5.47,11.31
ENSG00000139880,CDH24,1.75,8.89,5.84,5.53,4.88,2.52,4.88,4.62,2.61
ENSG00000139890,REM2,1.3,0.45,1.87,0.46,0.53,0.1,0.23,0.25,0.83
ENSG00000139899,CBLN3,0.07,1.19,0.49,0.43,1.11,0.67,0,1.5,3.33
ENSG00000139908,TSSK4,0.37,1.05,0.13,0.52,0.63,0.35,1.02,1.02,0.44
ENSG00000139910,NOVA1,10.06,8.08,8.33,7.05,7.78,7.99,8.54,7.84,8.43
